filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,1024,768,pothole,377,385,737,505
1.jpg,1024,768,pothole,396,302,703,380
10.jpg,660,371,pothole_water,73,167,194,215
10.jpg,660,371,pothole_water,154,119,278,164
10.jpg,660,371,pothole_water,466,62,613,139
10.jpg,660,371,pothole_water,250,44,365,109
100.jpg,1299,863,pothole_water,927,353,1036,436
100.jpg,1299,863,damage,315,198,696,467
101.jpg,600,400,pothole,131,294,289,366
102.jpg,800,533,pothole_water,173,320,559,465
102.jpg,800,533,pothole_water,477,162,800,339
102.jpg,800,533,pothole_water,586,362,800,533
103.jpg,768,500,damage,216,251,437,351
103.jpg,768,500,pothole,1,372,160,447
103.jpg,768,500,pothole,45,221,164,283
103.jpg,768,500,pothole,464,176,584,253
104.jpg,660,654,pothole_water,1,85,264,254
104.jpg,660,654,pothole_water,300,69,479,171
104.jpg,660,654,pothole_water,492,124,628,205
104.jpg,660,654,pothole_water,395,286,563,419
105.jpg,225,300,pothole,71,150,186,220
105.jpg,225,300,damage,1,109,85,181
105.jpg,225,300,pothole,89,104,153,141
105.jpg,225,300,damage,147,45,192,131
105.jpg,225,300,crack,1,38,137,60
106.jpg,1820,1024,pothole_water,668,648,1495,837
106.jpg,1820,1024,pothole_water,273,556,656,739
106.jpg,1820,1024,damage,118,284,542,518
107.jpg,3200,1680,crack,397,58,1134,1639
107.jpg,3200,1680,pothole,1841,1133,2453,1671
107.jpg,3200,1680,damage,1291,264,2234,1096
108.jpg,3200,1680,pothole,466,1046,2972,1621
108.jpg,3200,1680,pothole,859,777,2284,1114
108.jpg,3200,1680,pothole,653,589,1609,758
109.jpg,720,478,pothole_water,171,186,493,343
11.jpg,800,500,pothole_water,170,304,605,439
11.jpg,800,500,pothole,200,128,468,203
11.jpg,800,500,pothole,432,212,684,266
11.jpg,800,500,pothole,215,243,408,295
110.jpg,1297,599,damage,496,131,1130,463
110.jpg,1297,599,damage,96,92,467,246
111.jpg,1293,917,damage,433,273,818,585
111.jpg,1293,917,crack,865,234,1272,810
111.jpg,1293,917,damage,1,515,343,812
112.jpg,356,169,damage,1,14,201,155
113.jpg,750,750,pothole,284,346,581,418
113.jpg,750,750,crack,1,360,283,459
114.jpg,640,415,damage,164,260,524,359
114.jpg,640,415,damage,72,117,278,239
114.jpg,640,415,damage,314,124,522,248
115.jpg,400,303,pothole_water,183,164,348,235
115.jpg,400,303,damage,3,92,96,196
115.jpg,400,303,damage,106,66,236,194
116.jpg,1297,855,pothole,1,498,330,727
116.jpg,1297,855,pothole,476,159,1184,413
117.jpg,240,135,pothole,48,46,199,110
118.jpg,400,300,damage,24,121,97,171
119.jpg,900,622,pothole,572,345,745,426
119.jpg,900,622,pothole,189,443,659,553
12.jpg,534,401,pothole,1,194,534,401
120.jpg,300,199,pothole_water,82,27,257,132
120.jpg,300,199,crack,22,93,244,199
121.jpg,550,412,pothole,187,170,414,286
122.jpg,647,404,pothole_water,20,187,327,330
122.jpg,647,404,pothole_water,359,240,473,341
123.jpg,1100,825,pothole,534,446,871,612
124.jpg,1200,837,damage,15,350,1015,809
125.jpg,620,407,pothole_water_m,30,87,606,385
126.jpg,400,300,pothole_water,58,76,365,210
127.jpg,780,520,damage,314,126,493,333
127.jpg,780,520,pothole_water,418,85,499,140
128.jpg,339,218,pothole_water,91,51,298,208
129.jpg,873,1281,pothole,287,587,678,832
13.jpg,670,440,pothole,192,90,333,154
13.jpg,670,440,pothole_water,403,164,586,288
13.jpg,670,440,pothole,94,299,302,412
130.jpg,650,400,pothole_water_m,178,261,468,393
130.jpg,650,400,damage,426,185,548,280
131.jpg,467,495,pothole_water,67,291,214,358
131.jpg,467,495,pothole_water,109,376,326,495
131.jpg,467,495,pothole_water,171,226,262,283
131.jpg,467,495,pothole_water,330,107,407,146
132.jpg,1024,682,pothole,20,160,499,287
132.jpg,1024,682,pothole,637,229,1009,358
133.jpg,1600,1103,damage,271,690,1059,1027
134.jpg,448,301,damage,108,107,193,138
134.jpg,448,301,damage,333,24,422,83
135.jpg,800,600,pothole_water,38,148,614,390
135.jpg,800,600,damage,491,203,800,356
136.jpg,800,600,pothole,82,104,774,495
